checkpoint,tstart,cfg_tar,metric,delta,ci95,p,better,n_better,n
saocos_r8_a4_lr5e-5_checkpoint_step_4000,25,3.5,lpaps,-0.038490551969279446,0.006458882265064259,3.3108082861958877e-21,lower,105,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,25,7.0,lpaps,-0.030349545202393507,0.006193706939524303,2.329036634519003e-16,lower,105,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,50,7.0,lpaps,-0.04809771427209822,0.01629680915797979,6.477558100442813e-08,lower,102,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,50,3.5,lpaps,-0.062416358097739856,0.023353817337695627,7.500754092152926e-07,lower,99,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,75,7.0,lpaps,-0.06597078955691789,0.00813887550911782,1.1220516166972537e-30,lower,109,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,75,3.5,lpaps,-0.08032444649848389,0.010686561674939886,3.7407257273089343e-28,lower,111,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,99,3.5,lpaps,-0.07690322824146437,0.010309790907636975,6.625084803625536e-28,lower,111,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,99,7.0,lpaps,-0.05548488630764727,0.009744825636094497,5.4044244000731826e-20,lower,106,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,25,3.5,lpaps,-0.03821988632713538,0.006298128399135086,1.0543740782929773e-21,lower,105,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,25,7.0,lpaps,-0.030177518042965264,0.00606029703476533,1.0092908171138187e-16,lower,104,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,50,7.0,lpaps,-0.05309367286986198,0.012268891690765836,9.161047333362385e-14,lower,103,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,50,3.5,lpaps,-0.06145673686179561,0.02297128124920168,7.327444891410186e-07,lower,98,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,75,7.0,lpaps,-0.06501783844353495,0.008007184298092527,9.764244069210902e-31,lower,110,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,75,3.5,lpaps,-0.07831171737200977,0.010326350973723437,1.9121434853814824e-28,lower,111,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,99,3.5,lpaps,-0.0752309467827064,0.010110907633476338,7.987389030479722e-28,lower,111,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,99,7.0,lpaps,-0.052590712706247975,0.009897065786855173,2.975450981416946e-18,lower,106,115
DDPM-inv,25,3.5,lpaps,-0.07302202929621159,0.017003779297193128,1.2884001328636658e-13,lower,99,115
DDPM-inv,25,7.0,lpaps,-0.11520418294961908,0.022054547137672992,7.704871200600179e-18,lower,107,115
DDPM-inv,50,7.0,lpaps,-0.832053884388744,0.10022263537665735,1.6760021986769398e-31,lower,109,115
DDPM-inv,50,3.5,lpaps,-1.0164349760007168,0.09848963093154327,1.6084378033720464e-39,lower,114,115
DDPM-inv,75,7.0,lpaps,-0.9993415688431779,0.0950127997947792,2.929167338745488e-40,lower,114,115
DDPM-inv,75,3.5,lpaps,-1.159520205207493,0.10626445154813599,1.0424780816127331e-41,lower,113,115
DDPM-inv,99,3.5,lpaps,-1.2186406966568768,0.10807025287341274,5.0565865735712614e-43,lower,114,115
DDPM-inv,99,7.0,lpaps,-1.0328041824396106,0.09761403753542196,1.7161844545591638e-40,lower,114,115
SDEdit,25,3.5,lpaps,1.3373707644317463,0.040710795299568996,1.7675231851815654e-91,lower,0,115
SDEdit,25,7.0,lpaps,1.2848842029295107,0.04058415984974924,1.0593751304549948e-89,lower,0,115
SDEdit,50,7.0,lpaps,1.3109766907622846,0.09099629901108278,2.768592323697358e-53,lower,0,115
SDEdit,50,3.5,lpaps,1.6452290341474007,0.09822896723168668,6.261282381015202e-60,lower,0,115
SDEdit,75,7.0,lpaps,0.8467655662868335,0.08685643597035159,2.447248482267668e-37,lower,3,115
SDEdit,75,3.5,lpaps,1.1379023483179616,0.10129964669637263,7.221684585004895e-43,lower,1,115
SDEdit,99,3.5,lpaps,1.0691534642551257,0.103985440702155,2.244971468984756e-39,lower,1,115
SDEdit,99,7.0,lpaps,0.7949381494522095,0.08913050481997414,4.82036618943889e-34,lower,4,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,25,3.5,psnr,-0.08922296565448491,0.010013084077404078,5.202798860290798e-34,higher,8,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,25,7.0,psnr,-0.07831604190660627,0.009140332044348986,1.3123714840122463e-32,higher,11,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,50,7.0,psnr,0.08346734901557593,0.04116586614580144,0.00012426677868313503,higher,85,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,50,3.5,psnr,0.017985851883606036,0.0487960747272896,0.47150300390063193,higher,61,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,75,7.0,psnr,0.1339833116527779,0.03355267515782224,2.8060235463739914e-12,higher,97,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,75,3.5,psnr,0.13952619802474583,0.03576441816488326,7.104591751345401e-12,higher,100,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,99,3.5,psnr,0.1287062121547048,0.03608113425290775,1.9603692043523044e-10,higher,98,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,99,7.0,psnr,0.1410094533504882,0.030271232383861337,2.9426494905205838e-15,higher,103,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,25,3.5,psnr,-0.09047846539489666,0.010166878883196133,5.782430007778507e-34,higher,8,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,25,7.0,psnr,-0.07970369211760092,0.009268725322124012,9.773548187657796e-33,higher,10,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,50,7.0,psnr,0.07843812424218563,0.04046735475090239,0.0002346619423155809,higher,85,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,50,3.5,psnr,0.008675630523973603,0.04751864119903585,0.7211221479254875,higher,63,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,75,7.0,psnr,0.12772407035505087,0.03680231448842045,5.01639114460893e-10,higher,97,115
